Name,Address,postalCode,waitingTime
CHANGI GENERAL HOSPITAL," 2 Simei Street 3, Dept of Pharmacy Singapore 529889",529889,45
GUARDIAN HEALTH &amp; BEAUTY AMARA HOTEL," 100 Tras Street, @02-09 Amara Hotel Tower Singapore 079027",079027,106
GUARDIAN HEALTH &amp; BEAUTY ANG MO KIO CENTRAL," 704 Ang Mo Kio Avenue 8, #01-2559 Singapore 560704",560704,105
GUARDIAN HEALTH &amp; BEAUTY BEDOK CENTRAL," 210 New Upper Changi Road, #01-715 Singapore 460210",460210,2
GUARDIAN HEALTH &amp; BEAUTY BISHAN BLK 512," 512 Bishan St 13, #01-524 Singapore 570512",570512,0
GUARDIAN HEALTH &amp; BEAUTY BUGIS JUNCTION 3," 200 Victoria Street, #B1-20/21 Singapore 188021",188021,73
GUARDIAN HEALTH &amp; BEAUTY BUKIT PANJANG PLAZA," 1 Jelebu Road, #01-01/02 Bukit Panjang Plaza Singapore 677743",677743,48
GUARDIAN HEALTH &amp; BEAUTY CAUSEWAY POINT," 1 Woodlands Square, #B1-28/29/30 Causeway Point Singapore 738099",738099,119
GUARDIAN HEALTH &amp; BEAUTY CHANGI TERMINAL 3," 65 Airport Boulevard, #B2-24 Basement 2 North Terminal 3 Singapore 819663",819663,64
GUARDIAN HEALTH &amp; BEAUTY CHINATOWN," 133 New Bridge Road, #B1-34 Chinatown Point Singapore 059413",059413,75
GUARDIAN HEALTH &amp; BEAUTY CITY SQUARE MALL," 180 Kitchener Road, #B1-18/19 City Square Mall Singapore 208539",208539,77
GUARDIAN HEALTH &amp; BEAUTY CITYLINK," 1 Raffles Link, #B1-67 Singapore 039393",039393,43
GUARDIAN HEALTH &amp; BEAUTY CLEMENTI MALL," 3155 Commonwealth Avenue West, #03-59/60/61 Clementi Mall Singapore 129588",129588,53
GUARDIAN HEALTH &amp; BEAUTY COMPASS ONE," 1 Sengkang Square, #B1-11 Compass One Singapore 545078",545078,47
GUARDIAN HEALTH &amp; BEAUTY HARBOURFRONT CENTRE," 1 Maritime Square, #02-111/112 Harbourfront Centre Singapore 099253",099253,18
GUARDIAN HEALTH &amp; BEAUTY HOLLAND SHOPPING CENTRE," 211 Holland Avenue, #01-10/11 Holland Road Shopping Centre Singapore 278967",278967,97
GUARDIAN HEALTH &amp; BEAUTY HOUGANG BLK 205," 205 Hougang Street 21, #01-129 Heartland Mall - Kovan Singapore 530205",530205,42
GUARDIAN HEALTH &amp; BEAUTY HOUGANG MALL," 90 Hougang Ave 10, #B1-31 Hougang Mall Singapore 538766",538766,34
GUARDIAN HEALTH &amp; BEAUTY IMM," 2 Jurong East Street 21, #01-57 IMM Building Singapore 609601",609601,112
GUARDIAN HEALTH &amp; BEAUTY INTERNATIONAL BUILDING," 360 Orchard Road, #01-18 Singapore 238869",238869,15
GUARDIAN HEALTH &amp; BEAUTY ION," 2 Orchard Turn, #B4-02 ION Orchard Singapore 238801",238801,97
GUARDIAN HEALTH &amp; BEAUTY JELITA," 293 Holland Road, #02-10 Cold Storage Jelita Singapore 278628",278628,33
GUARDIAN HEALTH &amp; BEAUTY JEM," 50 Jurong Gateway  Road, #B1-16/17 JEM Shopping Centre Singapore 608549",608549,2
GUARDIAN HEALTH &amp; BEAUTY JURONG POINT," 63 Jurong West Central 3, #B1-27/28 Jurong Point Shopping Centre Singapore 648331",648331,21
GUARDIAN HEALTH &amp; BEAUTY LAVENDAR MRT," 50 Kallang Road, #B1-01 Lavendar MRT Singapore 208699",208699,88
GUARDIAN HEALTH &amp; BEAUTY LOT 1," 21 Choa Chu Kang Ave 4, #B1-26/27 Lot 1 Shopping Mall Singapore 689812",689812,21
GUARDIAN HEALTH &amp; BEAUTY MARINA BAY SANDS," 2 Bayfront Avenue, #B2-49 The Shoppes @ MBS Singapore 018972",018972,14
GUARDIAN HEALTH &amp; BEAUTY NORTHPOINT," 930 Yishun Avenue 2, #B1-02/03 Northpoint Shopping Centre Singapore 769098",769098,91
GUARDIAN HEALTH &amp; BEAUTY NOVENA SQUARE," 238 Thomson Road, #01-31 Novena Square Singapore 307683",307683,41
GUARDIAN HEALTH &amp; BEAUTY PARAGON," 290 Orchard Road, #B1-20/24 Paragon Singapore 238859",238859,93
GUARDIAN HEALTH &amp; BEAUTY PARKWAY PARADE," 80 Marine Parade Road, #B1-147/149 Parkway Parade Singapore 449269",449269,56
GUARDIAN HEALTH &amp; BEAUTY PLAZA SINGAPURA," 68 Orchard Road, #B2-14 Plaza Singapura Singapore 238839",238839,52
GUARDIAN HEALTH &amp; BEAUTY RAFFLES PLACE MRT," 5 Raffles Place, #B1-37-40/43-45 Raffles Place MRT Singapore 048618",048618,22
GUARDIAN HEALTH &amp; BEAUTY SELETAR MALL," 33 Sengkang West Ave, #B1-10/11 Seletar Mall Singapore 797653",797653,44
GUARDIAN HEALTH &amp; BEAUTY SERANGOON GARDENS, 66 Serangoon Garden Way Singapore 555962,555962,46
GUARDIAN HEALTH &amp; BEAUTY SERANGOON NEX," 23 Serangoon Central, #B1-62/63 Singapore 556083",556083,17
GUARDIAN HEALTH &amp; BEAUTY SOMERSET," 313 Orchard Road, #B3-13/14 313@Somerset Singapore 238895",238895,107
GUARDIAN HEALTH &amp; BEAUTY SUN PLAZA 2," 30 Sembawang Drive, #B1-11 Sun Plaza Singapore 757713",757713,42
GUARDIAN HEALTH &amp; BEAUTY SUNTEC CITY MALL," 3 Temasek Boulevard, #02-328/329 Suntec City Mall Singapore 038983",038983,86
GUARDIAN HEALTH &amp; BEAUTY TAKASHIMAYA," 391 Orchard Road, #B2-15/23 Takashimaya Shopping Centre Singapore 238872",238872,38
GUARDIAN HEALTH &amp; BEAUTY TAMPINES MRT," 20 Tampines Central 1, #01-01 Tampines MRT Singapore 529538",529538,97
GUARDIAN HEALTH &amp; BEAUTY TANGLIN MALL," 163 Tanglin Road, #01-18 Tanglin Mall Singapore 247933",247933,84
GUARDIAN HEALTH &amp; BEAUTY THE CENTREPOINT," 176 Orchard Road, #B1-01/02/03/04 The Centrepoint Singapore 238843",238843,61
GUARDIAN HEALTH &amp; BEAUTY TIONG BAHRU PLAZA," 302 Tiong Bahru Road, #B1-125 Tiong Bahru Plaza Singapore 168732",168732,83
GUARDIAN HEALTH &amp; BEAUTY TOA PAYOH BLK 190," 190 Toa Payoh Lorong 6, #01-578 Singapore 310190",310190,71
GUARDIAN HEALTH &amp; BEAUTY WAREHOUSE RETAIL SCHEME," 21 Tampines North Drive 2, #01-01 Giant Building Singapore 528765",528765,104
GUARDIAN HEALTH &amp; BEAUTY WATERWAY POINT," 83 Punggol Central, #B1-04 Waterway Point Singapore 828761",828761,63
GUARDIAN HEALTH &amp; BEAUTY WEST MALL," 1 Bukit Batok Central Link, #01-27 West Mall Singapore 658713",658713,103
GUARDIAN HEALTH &amp; BEAUTY WHITE SANDS MALL," 1 Pasir Ris Central St 3, #01-12 White Sands Mall Singapore 518457",518457,118
INSTITUTE OF MENTAL HEALTH," 10 Buangkok View, Buangkok Green Medical Park, Pharmacy Singapore 539747",539747,15
KHOO TECK PUAT HOSPITAL," 90 Yishun Central, Dept of Pharmacy Singapore 768828",768828,85
NATIONAL ADDICTIONS MANAGEMENT SERVICE," 10 Buangkok View, Buangkok Green Medical Park, Clinic C Singapore 539747",539747,25
NATIONAL HEART CENTRE SINGAPORE," 5 Hospital Drive, Level 2 Pharmacy Singapore 169609",169609,33
NATIONAL SKIN CENTRE, 1 Mandalay Road Singapore 308205,308205,80
NATIONAL UNIVERSITY HOSPITAL," 5 Lower Kent Ridge Road, Dept of Pharmacy Singapore 119074",119074,73
NG TENG FONG GENERAL HOSPITAL, 1 Jurong East Street 21 Singapore 609606,609606,3
NHG PHARMACY  - HOUGANG, 89 Hougang Avenue 4 Singapore 538829,538829,100
NHG PHARMACY - ANG MO KIO, 21 Ang Mo Kio Central 2 Singapore 569666,569666,24
NHG PHARMACY - BUKIT BATOK, 50 Bukit Batok West Avenue 3 Singapore 659164,659164,90
NHG PHARMACY - CHOA CHU KANG, 2 Teck Whye Crescent Singapore 688846,688846,49
NHG PHARMACY - CLEMENTI," 451 Clementi Avenue 3, #02-307 Singapore 120451",120451,69
NHG PHARMACY - GEYLANG, 21 Geylang East Central Singapore 389707,389707,98
NHG PHARMACY - JURONG, 190 Jurong East Avenue 1 Singapore 609788,609788,39
